filename,bytes,duration,episode
8350631-armenians-at-crossroads-a-conversation-with-dr-viken-hovsepian-ep-58-04-17-2021.mp3,50769593,4227,58
8325952-mr-pashinyan-goes-to-moscow-election-politics-the-pow-debacle-a-coronavirus-update-the-state-of-the-economy-ep-57-apr-11-2021.mp3,43750494,3642,57
8273315-kocharyan-case-electoral-reforms-new-gallup-poll-ukraine-heating-up-ep-56-apr-4-2021.mp3,34915587,2905,56
8230492-national-security-general-staff-armed-forces-defense-budget-syunik-ep-55-mar-28-2021.mp3,37543056,3124,55
8192528-early-elections-on-june-20th-gas-through-azerbaijan-military-exercises-ep-54-03-21-2021.mp3,28503257,2371,54
8147871-latest-iri-poll-results-armen-grigoryan-interview-snap-on-snap-off-ep-53-03-14-2021.mp3,30354911,2525,53
8049850-iskander-relations-with-russia-attempted-coup-opposition-boeing-737-hijacked-ep-52.mp3?blob_id=36169079,35562861,2959,52
8020192-sargsyan-interview-criminalizing-defamation-appointments-during-martial-law-opp-protests-on-feb-20-govsagan-in-the-end-ep-51.mp3,37412133,3113,51
8003896-armenia-s-earthquake-preparedness-with-dr-armen-der-kiureghian-ep-50.mp3,12857325,1067,50
7917895-syunik-confidential-developments-in-artsakh-snap-elections-flip-flop-ep-49.mp3,28066527,2335,49
7762591-lost-in-artsakh-law-on-mass-media-political-scene-in-yerevan-economic-outlook-ep-48.mp3,26153479,2175,48
7626577-constitutional-amendment-opp-rising-zarif-tour-virus-update-armenia-fund-the-dram-ep-47.mp3,23910944,1988,47
7602388-conversation-with-ruben-muradyan-01-31-2021-ep-46.mp3,29729350,2473,46
7490332-supreme-judicial-council-turk-azerbaijani-military-exercises-in-kars-blinken-on-armenia.mp3,24148840,2008,45
7387702-opposition-talks-armen-ashotyan-of-the-rpa-hhk-01-19-2021.mp3,30539479,2541,44
7364506-pashinyan-moscow-trip-azerbaijan-s-geo-political-situation-domestic-politics-in-baku-azerbaijan-s-losses-in-the-war-ep-43.mp3,30795146,2562,43
7347733-.mp3,13693105,1137,42
7283497-conversation-with-aram-vardevanyan.mp3,33979440,2827,41
7251304-state-of-the-opposition-update-on-am-az-border-positions-state-of-the-artsakh-loc.mp3,28879382,2402,40
7192057-conversation-with-my-step-s-maria-karapetyan.mp3,39463884,3284,39
7116184-arevik-anapiosyan-on-research-in-policy-making-and-implementation-ep-38.mp3,28197875,2346,38
7045906-tevan-poghosyan-on-diplomacy-war-and-the-way-forward-37-dec-29-2020.mp3,31617502,2631,37
6982657-opposition-talks-edmon-marukyan-of-bright-armenia-party.mp3,26630391,2215,36
6978898-life-in-artsakh-hin-tagher-khtsaberd-political-scene-in-yerevan-kapan-border-tension-ep-35.mp3,26167914,2176,35
6921518-opposition-talks-arthur-khachatryan-of-the-arf-dashnaktsutyun-ep-34.mp3,18753672,1559,34
6837433-renewed-fighting-the-osce-mg-border-demarcation-fate-of-sotq-diplomatic-relations-ep-33.mp3,34825108,2898,33
6830104-the-role-of-the-humanities-and-social-studies-in-armenian-life-ep-32.mp3,36715250,3055,32
6798175-artsakh-karabakh-from-a-russian-foreign-policy-perspective-ep-31.mp3,12552183,1042,31
6729955-turkey-and-azerbaijan-connecting-armenia-s-political-opposition-uniting-does-putin-support-pashinyan-robert-kocharyan-interview-ep-30.mp3,40770682,3393,30
6701140-border-demarcation-between-armenia-and-azerbaijan-the-scene-in-yerevan-covid-update-armenia-fund-support-for-the-post-war-economy-ep-29.mp3,28548510,2375,29
6686738-cog-soviet-or-armenian-the-life-and-times-of-anastas-ivanovich-mikoyan-28-dec-3-2020.mp3,28081441,2336,28
6447709-the-war-ends-who-won-and-who-lost-pax-russiana-the-extent-of-turkey-s-presence-in-azerbaijan-jubilation-in-baku-ep-27.mp3,31945265,2658,27
6340759-six-weeks-of-war-what-is-russia-thinking-to-recognize-or-not-to-recognize-ep-26.mp3,30180440,2511,26
6203116-war-diplomacy-minsk-group-iran-geneva-support-from-ex-presidents-update-on-war-ep-25.mp3,21449908,1783,25
6188845-cog-artsakh-in-the-arab-media-24-oct-28-2020.mp3,37743954,3141,24
6115510-international-diplomacy-turkey-s-endgame-war-and-post-war-economy-update-on-covid-ep-23.mp3,28485036,2370,23
5997355-artsakh-war-back-to-9-27-war-council-proposal-diaspora-mobilization-ep-22.mp3,22139134,1841,22
5883073-war-in-artsakh-security-situation-diplomatic-activity-humanitarian-impact-ep-21.mp3,26791659,2228,21
5757580-stepanakert-cluster-bombed-turkey-s-role-russia-quiet-what-s-next-october-4-2020.mp3,25964305,2159,20
5723422-armenia-azerbaijan-conflict-in-regional-context-libaridian-de-waal-oct-3-2020.mp3,35438726,2949,19
5637460-ann-groong-wir-18-sep-27-2020.mp3,33546840,2791,18
5610016-cog-velvet-revolution-two-years-on-part-1-17-sep-25-2020.mp3,37435536,3115,17
5531860-ann-groong-wir-16-sep-20-2020.mp3,28189335,2345,16
5448184-cog-telecommunications-security-in-armenia-15-sep-15-2020.mp3,30877437,2569,15
5429056-ann-groong-wir-14-sep-13-2020.mp3,32370076,2693,14
5327428-ann-groong-wir-13-sep-6-2020.mp3,32442485,2699,13
5313928-cog-judicial-reforms-data-protection-and-privacy-in-armenia-12-sep-5-2020.mp3,30704122,2554,12
5218153-ann-groong-wir-11-aug-30-2020.mp3,29968900,2493,11
5195833-cog-turkey-part-2-10-aug-28-2020.mp3,31873277,2652,10
5138791-cog-turkey-part-1-9-aug-24-2020.mp3,24636207,2049,9
5029382-ann-groong-wir-8-aug-16-2020.mp3,40172954,3344,8
4976648-cog-education-reform-in-armenia-7-aug-13-2020.mp3,30274605,2519,7
4930964-ann-groong-wir-6-aug-9-2020.mp3,37068037,3085,6
4827524-ann-groong-wir-5-aug-2-2020.mp3,58316560,4855,5
4728974-ann-groong-wir-4-jul-26-2020.mp3,49478915,4119,4
4646042-cog-azerbaijan-s-nuclear-threat-on-armenia-areg-danagoulian-3-jul-17-2020.mp3,18494415,1537,3
4625144-ann-groong-wir-2-jul-19-2020.mp3,49268578,4101,2
4537598-ann-groong-wir-1-jul-12-2020.mp3,52221363,4348,1,
